,,MCU DATALOGGER DEVICE BOM,,,
Date:,9/16/2024 11:18:16 PM,,,,
,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint
1,1,BT1,Battery,Device:Battery,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
2,2,"C1, C4",0.1uF,Device:C,Capacitor_SMD:C_0805_2012Metric
3,2,"C2, C3",22pF,Device:C,Capacitor_SMD:C_0805_2012Metric
4,1,C6,100nF,Device:C,Capacitor_SMD:C_0805_2012Metric
5,2,"D1, D2",LED,Device:LED,LED_SMD:LED_0805_2012Metric
6,4,"H1, H2, H3, H4",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_2.1mm
7,2,"J1, J4",Conn_01x04_Pin,Connector:Conn_01x04_Pin,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
8,1,J2,Conn_01x09_Pin,Connector:Conn_01x09_Pin,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical
9,1,J3,Conn_02x03_Odd_Even,Connector_Generic:Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical
10,3,"R1, R2, R6",10K,Device:R,PCM_Resistor_SMD_AKL:R_0805_2012Metric
11,2,"R3, R5",4.7K,Device:R,PCM_Resistor_SMD_AKL:R_0805_2012Metric
12,2,"R4, R7",330R,Device:R,PCM_Resistor_SMD_AKL:R_0805_2012Metric
13,1,U1,DS1337S_,DS1337S_:DS1337S_,DS1337S_:SOIC127P600X175-8N
14,2,"U2, U3",24LC1025,Memory_EEPROM:24LC1025,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
15,1,U4,ATMEGA328P-AU,ATMEGA328P-AU:ATMEGA328P-AU,ATMEGA328P-AU:QFP80P900X900X120-32N
16,1,Y1,32.768 KHz,Device:Crystal,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering
17,1,Y2,16 MHz,Device:Crystal,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering
